time,Bx,By,Bz,BT,point
5.424553,-48.74560000000001,6.280800000000001,-36.419900000000005,61.170000000000016,22
5.434495,-48.76010000000001,6.274500000000001,-36.4063,61.1726,22
5.444749,-48.770100000000006,6.275100000000001,-36.386399999999995,61.168700000000015,22
5.454417,-48.78,6.2814000000000005,-36.36460000000001,61.164400000000015,22
5.464748,-48.79060000000001,6.2946,-36.343500000000006,61.16180000000001,22
5.476329,-48.802400000000006,6.3072,-36.32490000000001,61.16170000000001,22
5.484456,-48.817899999999995,6.3172,-36.307500000000005,61.16500000000001,22
5.494726,-48.8402,6.3174,-36.291900000000005,61.17370000000002,22
5.5049,-48.869899999999994,6.3101,-36.28690000000001,61.19400000000001,22
5.51436,-48.9039,6.2941,-36.290600000000005,61.222,22
5.52455,-48.9404,6.2712,-36.3074,61.25910000000001,22
5.534498,-48.97569999999999,6.239500000000001,-36.328599999999994,61.29690000000001,22
5.544818,-49.00609999999999,6.2034,-36.3542,61.33290000000001,22
5.555992,-49.02969999999999,6.164100000000001,-36.379799999999996,61.363000000000014,22
5.564548,-49.045199999999994,6.117200000000001,-36.4079,61.38730000000001,22
5.574995,-49.050799999999995,6.069000000000001,-36.4385,61.405,22
5.584581,-49.0452,6.020900000000001,-36.468500000000006,61.4135,22
5.595201,-49.02589999999999,5.976400000000001,-36.4929,61.40820000000001,22
5.604488,-48.99040000000001,5.934900000000001,-36.506099999999996,61.383500000000005,22
5.614683,-48.941900000000004,5.893400000000001,-36.518,61.34780000000002,22
5.624553,-48.8859,5.850700000000001,-36.5287,61.30530000000001,22
5.634413,-48.82610000000001,5.810400000000001,-36.54430000000001,61.26310000000001,22
5.644618,-48.7663,5.7732,-36.563,61.2231,22
5.654513,-48.706400000000016,5.7392,-36.587900000000005,61.1872,22
5.664694,-48.64580000000001,5.710300000000001,-36.6171,61.1539,22
5.680602,-48.59140000000001,5.684600000000001,-36.650600000000004,61.128499999999995,22
5.684571,-48.546400000000006,5.661900000000001,-36.685300000000005,61.111599999999996,22
5.69561,-48.51200000000001,5.642400000000001,-36.72370000000001,61.1057,22
5.704638,-48.493300000000005,5.623100000000001,-36.7627,61.112700000000004,22
5.71462,-48.48960000000001,5.6057,-36.789899999999996,61.1246,22
5.725918,-48.49460000000001,5.593299999999999,-36.80210000000001,61.135000000000005,22
5.734406,-48.50770000000001,5.582300000000001,-36.7944,61.14000000000001,22
5.744517,-48.52950000000001,5.568700000000001,-36.7693,61.1413,22
5.754374,-48.55640000000001,5.5544,-36.7299,61.13790000000001,22
5.764455,-48.5902,5.5431,-36.6781,61.13280000000002,22
